ปีที่โอนเป็นทุน_พศ,ปีที่โอนเป็นทุน_คศ,เดือนที่โอนเป็นทุน,ปีเดือนที่โอนเป็นทุน,รหัสหมวดสินทรัพย์,ชื่อหมวดสินทรัพย์,จำนวนรายการย่อย,จำนวนรหัสสินทรัพย์,มูลค่าการได้มา,ค่าเสื่อมราคาสะสม,มูลค่าตามบัญชี,วันที่ยอดข้อมูล,รหัสเอกสาร,ไฟล์ต้นทาง
2542,1999,09,2542-09,12060100,ครุภัณฑ์สนง.,2,2,72000.0,-71998.0,2.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2558,2015,02,2558-02,12060400,ครุภัณฑ์โฆษณา,170,170,2089300.0,-2089130.0,170.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,05,2563-05,12060100,ครุภัณฑ์สนง.,17,14,1015678.3,-1015661.3,17.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,05,2563-05,12060200,ครุภัณฑ์ยานพาหนะ,6,4,4273000.0,-4272994.0,6.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,05,2563-05,12060300,ครุภัณฑ์ไฟฟ้า,10,5,62734.1,-52708.94,10025.16,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,05,2563-05,12060400,ครุภัณฑ์โฆษณา,326,163,1613623.33,-1147759.44,465863.89,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,05,2563-05,12061000,ครุภัณฑ์คอมพิวเตอร์,26,26,1523875.08,-1523849.08,26.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,05,2563-05,12061200,ครุภัณฑ์งานบ้าน,9,7,62404.6,-62395.6,9.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060100,ครุภัณฑ์สนง.,2060,1320,19033322.12,-18908023.25,125298.87,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060200,ครุภัณฑ์ยานพาหนะ,26,14,12253500.0,-12253474.0,26.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060300,ครุภัณฑ์ไฟฟ้า,414,207,3672344.44,-3643320.6,29023.84,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060400,ครุภัณฑ์โฆษณา,62,35,1691657.46,-1691595.46,62.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060500,ครุภัณฑ์การเกษตร,24,12,1586840.0,-1586816.0,24.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060600,ครุภัณฑ์โรงงาน,102,51,1787880.0,-1786522.31,1357.69,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12060900,ครุภัณฑ์วิทยาศาสตร์,248,126,33481672.96,-32372700.11,1108972.85,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12061000,ครุภัณฑ์คอมพิวเตอร์,137,97,1715008.3,-1714871.3,137.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12061100,ครุภัณฑ์การศึกษา,115,90,4615885.0,-4615770.0,115.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12061200,ครุภัณฑ์งานบ้าน,580,568,10042634.08,-10042054.08,580.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12061300,ครุภัณฑ์กีฬา,24,20,2959532.0,-2959508.0,24.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,06,2563-06,12061400,ครุภัณฑ์ดนตรี,22,18,256657.09,-256635.09,22.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060100,ครุภัณฑ์สนง.,10994,7266,333012472.58,-318403968.39,14608504.19,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060200,ครุภัณฑ์ยานพาหนะ,340,218,235082366.54,-225004535.18,10077831.36,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060300,ครุภัณฑ์ไฟฟ้า,2607,1589,172623042.96,-141529631.18,31093411.78,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060400,ครุภัณฑ์โฆษณา,744,462,24259693.23,-22599631.33,1660061.9,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060500,ครุภัณฑ์การเกษตร,7,6,2668990.0,-2668983.0,7.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060600,ครุภัณฑ์โรงงาน,42,41,11672844.02,-11672802.02,42.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12060900,ครุภัณฑ์วิทยาศาสตร์,17,12,118859.5,-110403.4,8456.1,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12061000,ครุภัณฑ์คอมพิวเตอร์,15827,14168,1888015292.6,-1887407066.79,608225.81,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12061100,ครุภัณฑ์การศึกษา,68,68,456370.0,-456302.0,68.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12061200,ครุภัณฑ์งานบ้าน,939,788,9678132.31,-9655012.6,23119.71,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12061300,ครุภัณฑ์กีฬา,120,93,3808815.05,-3807788.91,1026.14,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,07,2563-07,12061400,ครุภัณฑ์ดนตรี,12,12,270895.35,-270883.35,12.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,08,2563-08,12060100,ครุภัณฑ์สนง.,12,12,377282.0,-193471.52,183810.48,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,08,2563-08,12061200,ครุภัณฑ์งานบ้าน,5,5,92500.0,-75860.35,16639.65,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,08,2563-08,12061300,ครุภัณฑ์กีฬา,2,2,59800.0,-49531.38,10268.62,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,09,2563-09,12060100,ครุภัณฑ์สนง.,4,4,128980.0,-65555.76,63424.24,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,09,2563-09,12060400,ครุภัณฑ์โฆษณา,8,7,401233.07,-205759.98,195473.09,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,09,2563-09,12061200,ครุภัณฑ์งานบ้าน,3,3,44120.0,-35872.11,8247.89,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,09,2563-09,12061300,ครุภัณฑ์กีฬา,6,6,127000.0,-126994.0,6.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060100,ครุภัณฑ์สนง.,5679,3368,90984814.89,-82737614.52,8247200.37,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060200,ครุภัณฑ์ยานพาหนะ,276,148,156927290.0,-142046013.28,14881276.72,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060300,ครุภัณฑ์ไฟฟ้า,456,265,20150307.31,-16554342.94,3595964.37,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060400,ครุภัณฑ์โฆษณา,271,166,5190057.21,-4868217.01,321840.2,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060500,ครุภัณฑ์การเกษตร,5,3,52900.0,-47908.58,4991.42,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060600,ครุภัณฑ์โรงงาน,2,1,9400.0,-9398.0,2.0,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12060900,ครุภัณฑ์วิทยาศาสตร์,5,3,30400.0,-28904.02,1495.98,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12061000,ครุภัณฑ์คอมพิวเตอร์,865,705,25175641.87,-25157055.89,18585.98,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12061200,ครุภัณฑ์งานบ้าน,435,272,3967757.92,-3923848.59,43909.33,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
2563,2020,10,2563-10,12061300,ครุภัณฑ์กีฬา,66,48,1270306.0,-1221664.2,48641.8,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
