รหัสหมวดสินทรัพย์,ชื่อหมวดตามเอกสาร,ชื่อหมวดมาตรฐาน,จำนวนรายการย่อย,จำนวนรหัสสินทรัพย์,มูลค่าการได้มา,ค่าเสื่อมราคาสะสม,มูลค่าตามบัญชี,หน้าที่พบครั้งแรก,วันที่ยอดข้อมูล,รหัสเอกสาร,ไฟล์ต้นทาง
12060100,ครุภัณฑ์สนง.,ครุภัณฑ์สำนักงาน,38223,24034,843686224.21,-666864480.33,176821743.88,1,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12060200,ครุภัณฑ์ยานพาหนะ,ครุภัณฑ์ยานพาหนะและขนส่ง,1311,816,863335280.54,-668791627.68,194543652.86,876,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12060300,ครุภัณฑ์ไฟฟ้า,ครุภัณฑ์ไฟฟ้าและวิทยุ,5201,3147,289730020.92,-211940732.93,77789287.99,911,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12060400,ครุภัณฑ์โฆษณา,ครุภัณฑ์โฆษณาและเผยแพร่,2396,1598,55555992.94,-46856867.16,8699125.78,1036,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12060500,ครุภัณฑ์การเกษตร,ครุภัณฑ์การเกษตร,113,79,6884771.45,-6551531.11,333240.34,1096,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12060600,ครุภัณฑ์โรงงาน,ครุภัณฑ์โรงงาน,447,351,39478931.22,-38795588.53,683342.69,1100,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12060900,ครุภัณฑ์วิทยาศาสตร์,ครุภัณฑ์วิทยาศาสตร์และการแพทย์,925,564,105373438.33,-80695025.56,24678412.77,1111,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12061000,ครุภัณฑ์คอมพิวเตอร์,ครุภัณฑ์คอมพิวเตอร์,28951,25816,3136882061.0,-2491853092.51,645028968.49,1133,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12061100,ครุภัณฑ์การศึกษา,ครุภัณฑ์การศึกษา,287,248,8710575.0,-8599934.94,110640.06,1797,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12061200,ครุภัณฑ์งานบ้าน,ครุภัณฑ์งานบ้านงานครัว,3621,2919,50501163.65,-47038423.47,3462740.18,1804,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12061300,ครุภัณฑ์กีฬา,ครุภัณฑ์กีฬา,441,349,16949524.9,-16115864.18,833660.72,1892,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12061400,ครุภัณฑ์ดนตรี,ครุภัณฑ์ดนตรี,86,72,1531872.44,-1448067.37,83805.07,1905,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
12061500,ครุภัณฑ์สนาม,ครุภัณฑ์สนาม,19,19,459989.0,-258393.19,201595.81,1908,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
