รหัสพื้นที่,ชื่อพื้นที่,รหัสศูนย์ต้นทุน,ชื่อศูนย์ต้นทุน,รหัสหมวดสินทรัพย์,ชื่อหมวดสินทรัพย์,จำนวนรายการย่อย,จำนวนรหัสสินทรัพย์,มูลค่าการได้มา,ค่าเสื่อมราคาสะสม,มูลค่าตามบัญชี,ผลตรวจสอบกับยอดสรุปในรายงาน,หน้าอ้างอิงยอดสรุป,วันที่ยอดข้อมูล,รหัสเอกสาร,ไฟล์ต้นทาง
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060100,ครุภัณฑ์สนง.,3277,2287,170797906.17,-116221686.61,54576219.56,ตรงกับยอดในรายงาน,75,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060200,ครุภัณฑ์ยานพาหนะ,336,237,283824052.1,-187470167.08,96353885.02,ตรงกับยอดในรายงาน,883,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060300,ครุภัณฑ์ไฟฟ้า,1398,870,88784709.02,-58878305.49,29906403.53,ตรงกับยอดในรายงาน,943,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060400,ครุภัณฑ์โฆษณา,160,122,6617466.93,-6043676.96,573789.97,ตรงกับยอดในรายงาน,1039,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060500,ครุภัณฑ์การเกษตร,4,4,116760.0,-116756.0,4.0,ตรงกับยอดในรายงาน,1096,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060600,ครุภัณฑ์โรงงาน,25,25,9636797.0,-9636772.0,25.0,ตรงกับยอดในรายงาน,1101,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12060900,ครุภัณฑ์วิทยาศาสตร์,5,4,28815.0,-25043.6,3771.4,ตรงกับยอดในรายงาน,1111,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12061000,ครุภัณฑ์คอมพิวเตอร์,1029,284,60174967.3,-46686039.5,13488927.8,ตรงกับยอดในรายงาน,1156,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12061200,ครุภัณฑ์งานบ้าน,537,499,5174611.8,-5081067.72,93544.08,ตรงกับยอดในรายงาน,1816,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
1000,ส่วนกลาง,1700600001,สำนักงานเลขานุการกรม,12061300,ครุภัณฑ์กีฬา,86,61,3076270.33,-3076184.33,86.0,ตรงกับยอดในรายงาน,1894,2567-09-30,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf
