ปีงบประมาณ,วันที่รายงาน,ระดับสรุป,ระดับชั้น,แผนงาน,กลุ่มรายจ่าย,หมวดงบรายจ่าย,หมวดค่าใช้จ่าย,ชื่อกลุ่ม,จัดสรร,รวมเบิกจ่ายและผูกพัน,คงเหลือ,จำนวนรายการย่อยสุดภายใต้กลุ่ม,รหัสเอกสาร,ไฟล์ต้นทาง,หน้าอ้างอิง
2563,2564-01-31,แผนงาน,1,แผนงานบุคลากรภาครัฐ,,,,แผนงานบุคลากรภาครัฐ,1384310000.0,1250063212.04,134246787.96,13,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานบุคลากรภาครัฐ,,งบบุคลากร,,งบบุคลากร,1336361180.0,1214171830.62,122189349.38,7,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานบุคลากรภาครัฐ,,งบดำเนินงาน,,งบดำเนินงาน,47348820.0,35517401.42,11831418.58,5,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดค่าใช้จ่าย,4,แผนงานบุคลากรภาครัฐ,,งบดำเนินงาน,ค่าตอบแทน,- ค่าตอบแทน,3228000.0,2886225.0,341775.0,2,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดค่าใช้จ่าย,4,แผนงานบุคลากรภาครัฐ,,งบดำเนินงาน,ค่าใช้สอย,- ค่าใช้สอย,44120820.0,32631176.42,11489643.58,3,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานบุคลากรภาครัฐ,,งบรายจ่ายอื่น,,งบรายจ่ายอื่น,600000.0,373980.0,226020.0,1,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,แผนงาน,1,แผนงานพื้นฐาน,,,,แผนงานพื้นฐาน,1935860750.0,1739980365.52,182469321.48,135,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,กลุ่มรายจ่าย,2,แผนงานพื้นฐาน,โครงการต่อเนื่อง,,,โครงการต่อเนื่อง,249119600.0,238988014.33,10131585.67,8,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานพื้นฐาน,โครงการต่อเนื่อง,งบดำเนินงาน,,งบดำเนินงาน,148329000.0,144527412.73,3801587.27,3,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดค่าใช้จ่าย,4,แผนงานพื้นฐาน,โครงการต่อเนื่อง,งบดำเนินงาน,ค่าใช้สอย,- ค่าใช้สอย,85329000.0,85027412.73,301587.27,2,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดค่าใช้จ่าย,4,แผนงานพื้นฐาน,โครงการต่อเนื่อง,งบดำเนินงาน,ค่าสาธารณูปโภค,- ค่าสาธารณูปโภค,63000000.0,59500000.0,3500000.0,1,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานพื้นฐาน,โครงการต่อเนื่อง,งบลงทุน,,งบลงทุน,15209800.0,10003620.0,5206180.0,1,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานพื้นฐาน,โครงการต่อเนื่อง,งบรายจ่ายอื่น,,งบรายจ่ายอื่น,85580800.0,84456981.6,1123818.4,4,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,2
2563,2564-01-31,กลุ่มรายจ่าย,2,แผนงานพื้นฐาน,รายจ่ายเพื่อบริหารงานประจำ,,,รายจ่ายเพื่อบริหารงานประจำ,1686741150.0,1500992351.19,172337735.81,127,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,2
2563,2564-01-31,หมวดงบรายจ่าย,3,แผนงานพื้นฐาน,รายจ่ายเพื่อบริหารงานประจำ,งบดำเนินงาน,,งบดำเนินงาน,1506912750.0,1369156258.93,133448562.53,101,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,2
2563,2564-01-31,หมวดค่าใช้จ่าย,4,แผนงานพื้นฐาน,รายจ่ายเพื่อบริหารงานประจำ,งบดำเนินงาน,ค่าตอบแทน,- ค่าตอบแทน,265113650.0,239655202.95,28005287.05,15,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,2
2563,2564-01-31,หมวดค่าใช้จ่าย,4,แผนงานพื้นฐาน,รายจ่ายเพื่อบริหารงานประจำ,งบดำเนินงาน,ค่าใช้สอย -,- ค่าใช้สอย -,883481200.0,821090605.94,57124914.52,69,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,2
