ชื่อไฟล์,ชื่อคอลัมน์,ความหมาย,ชนิดข้อมูล,หน่วย,วิธีคำนวณหรือที่มา
asset_capitalization_summary.csv,ปีที่โอนเป็นทุน_พศ,ปีที่โอนเป็นทุน,ข้อความ,พ.ศ.,ตัดจากวันที่โอนเป็นทุน
asset_capitalization_summary.csv,ปีที่โอนเป็นทุน_คศ,ปีที่โอนเป็นทุนในคริสต์ศักราช,จำนวนเต็ม,ค.ศ.,ปีพุทธศักราช ลบ 543
asset_capitalization_summary.csv,เดือนที่โอนเป็นทุน,เดือนที่โอนเป็นทุน,ข้อความ,เดือน 01-12,ตัดจากวันที่โอนเป็นทุน
asset_capitalization_summary.csv,ปีเดือนที่โอนเป็นทุน,ปีและเดือนที่โอนเป็นทุน,ข้อความ,ปปปป-ดด (พ.ศ.),ตัดจากวันที่โอนเป็นทุน
asset_capitalization_summary.csv,รหัสหมวดสินทรัพย์,รหัสหมวดสินทรัพย์ 8 หลัก,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_capitalization_summary.csv,ชื่อหมวดสินทรัพย์,ชื่อหมวดตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_capitalization_summary.csv,จำนวนรายการย่อย,จำนวนบรรทัดในทะเบียน นับรวมทุกเลขที่ย่อย,จำนวนเต็ม,รายการ,นับแถวใน asset_register_2567
asset_capitalization_summary.csv,จำนวนรหัสสินทรัพย์,จำนวนรหัสสินทรัพย์ที่ไม่ซ้ำ,จำนวนเต็ม,รหัส,นับค่าไม่ซ้ำของรหัสสินทรัพย์
asset_capitalization_summary.csv,มูลค่าการได้มา,ราคาที่ได้มาตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าการได้มา
asset_capitalization_summary.csv,ค่าเสื่อมราคาสะสม,ค่าเสื่อมราคาสะสม เก็บเครื่องหมายลบตามต้นฉบับ,ตัวเลข,บาท,คอลัมน์ค่าเสื่อมราคาสะสม
asset_capitalization_summary.csv,มูลค่าตามบัญชี,มูลค่าคงเหลือตามบัญชี,ตัวเลข,บาท,ตรวจแล้วเท่ากับ มูลค่าการได้มา บวก ค่าเสื่อมราคาสะสม
asset_capitalization_summary.csv,วันที่ยอดข้อมูล,วันที่ที่ยอดในเอกสารสะท้อน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากหัวรายงาน
asset_capitalization_summary.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
asset_capitalization_summary.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
asset_categories.csv,รหัสหมวดสินทรัพย์,รหัสหมวดสินทรัพย์ 8 หลัก,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_categories.csv,ชื่อหมวดตามเอกสาร,ชื่อหมวดตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_categories.csv,ชื่อหมวดมาตรฐาน,ชื่อหมวดแบบเต็มสำหรับใช้กรองและจัดกลุ่ม,ข้อความ,-,ขยายจากชื่อย่อในเอกสาร
asset_categories.csv,จำนวนรายการย่อย,จำนวนบรรทัดในทะเบียน นับรวมทุกเลขที่ย่อย,จำนวนเต็ม,รายการ,นับแถวใน asset_register_2567
asset_categories.csv,จำนวนรหัสสินทรัพย์,จำนวนรหัสสินทรัพย์ที่ไม่ซ้ำ,จำนวนเต็ม,รหัส,นับค่าไม่ซ้ำของรหัสสินทรัพย์
asset_categories.csv,มูลค่าการได้มา,ราคาที่ได้มาตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าการได้มา
asset_categories.csv,ค่าเสื่อมราคาสะสม,ค่าเสื่อมราคาสะสม เก็บเครื่องหมายลบตามต้นฉบับ,ตัวเลข,บาท,คอลัมน์ค่าเสื่อมราคาสะสม
asset_categories.csv,มูลค่าตามบัญชี,มูลค่าคงเหลือตามบัญชี,ตัวเลข,บาท,ตรวจแล้วเท่ากับ มูลค่าการได้มา บวก ค่าเสื่อมราคาสะสม
asset_categories.csv,หน้าที่พบครั้งแรก,หน้าแรกที่พบรายการของหมวดนั้น,จำนวนเต็ม,หน้า,ค่าต่ำสุดของหน้าอ้างอิง
asset_categories.csv,วันที่ยอดข้อมูล,วันที่ที่ยอดในเอกสารสะท้อน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากหัวรายงาน
asset_categories.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
asset_categories.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
asset_group_summary_2567.csv,รหัสพื้นที่,รหัสพื้นที่ 4 หลัก,ข้อความ,-,บรรทัดรหัสพื้นที่ในรายงาน
asset_group_summary_2567.csv,ชื่อพื้นที่,ชื่อพื้นที่ตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดรหัสพื้นที่ในรายงาน
asset_group_summary_2567.csv,รหัสศูนย์ต้นทุน,รหัสศูนย์ต้นทุน 10 หลัก,ข้อความ,-,บรรทัดรหัสศูนย์ต้นทุนในรายงาน
asset_group_summary_2567.csv,ชื่อศูนย์ต้นทุน,ชื่อศูนย์ต้นทุนตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดรหัสศูนย์ต้นทุนในรายงาน
asset_group_summary_2567.csv,รหัสหมวดสินทรัพย์,รหัสหมวดสินทรัพย์ 8 หลัก,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_group_summary_2567.csv,ชื่อหมวดสินทรัพย์,ชื่อหมวดตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_group_summary_2567.csv,จำนวนรายการย่อย,จำนวนบรรทัดในทะเบียน นับรวมเลขที่ย่อยทุกตัว,จำนวนเต็ม,รายการ,นับบรรทัดใน asset_register_2567
asset_group_summary_2567.csv,จำนวนรหัสสินทรัพย์,จำนวนรหัสสินทรัพย์ที่ไม่ซ้ำในกลุ่ม,จำนวนเต็ม,รหัส,นับค่าไม่ซ้ำของรหัสสินทรัพย์
asset_group_summary_2567.csv,มูลค่าการได้มา,ราคาที่ได้มาตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าการได้มา
asset_group_summary_2567.csv,ค่าเสื่อมราคาสะสม,ค่าเสื่อมราคาสะสม เก็บเครื่องหมายลบตามต้นฉบับ,ตัวเลข,บาท,คอลัมน์ค่าเสื่อมราคาสะสม
asset_group_summary_2567.csv,มูลค่าตามบัญชี,มูลค่าคงเหลือตามบัญชี,ตัวเลข,บาท,ตรวจแล้วเท่ากับ มูลค่าการได้มา บวก ค่าเสื่อมราคาสะสม
asset_group_summary_2567.csv,ผลตรวจสอบกับยอดสรุปในรายงาน,ผลเทียบยอดที่คำนวณกับยอดสรุปที่พิมพ์ในรายงาน,ข้อความ,-,เทียบกับบรรทัดรหัสศูนย์ต้นทุนในเอกสาร
asset_group_summary_2567.csv,หน้าอ้างอิงยอดสรุป,หน้าที่พิมพ์ยอดสรุปของกลุ่มนั้น,ข้อความ,หน้า,จากบรรทัดยอดสรุปในรายงาน
asset_group_summary_2567.csv,วันที่ยอดข้อมูล,วันที่ที่ยอดในเอกสารสะท้อน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากหัวรายงาน
asset_group_summary_2567.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
