รหัสการตรวจ,ไฟล์หรือขอบเขต,รายการที่ตรวจ,ประเด็นตรวจสอบ,ค่าต้นฉบับหรือจำนวนที่พบ,ผลต่างหรือการจัดการ,รหัสเอกสาร,หน้าอ้างอิง,สถานะ,หมายเหตุ
QC-001,budget_items.csv,ปีงบประมาณ 2563,คงเหลือไม่เท่ากับ จัดสรร ลบ รวมเบิกจ่ายและผูกพัน,80 แถวจาก 311 แถว,สูงสุด 36162480.00 บาท,DOC-BUD-2563,1; 2; 3; 4; 5; 6; 7; 8,บันทึกไว้ ไม่แก้ไขค่า,ยึดตัวเลขตามต้นฉบับ คอลัมน์คงเหลืออาจสะท้อนการโอนหรือปรับปรุงระหว่างปี
QC-002,budget_items.csv,ปีงบประมาณ 2564,คงเหลือไม่เท่ากับ จัดสรร ลบ รวมเบิกจ่ายและผูกพัน,129 แถวจาก 308 แถว,สูงสุด 212374069.07 บาท,DOC-BUD-2564,1; 2; 3; 4; 5; 6; 7; 8,บันทึกไว้ ไม่แก้ไขค่า,ยึดตัวเลขตามต้นฉบับ คอลัมน์คงเหลืออาจสะท้อนการโอนหรือปรับปรุงระหว่างปี
QC-003,budget_items.csv,ปีงบประมาณ 2565,คงเหลือไม่เท่ากับ จัดสรร ลบ รวมเบิกจ่ายและผูกพัน,117 แถวจาก 302 แถว,สูงสุด 88214634.00 บาท,DOC-BUD-2565,1; 2; 3; 4; 5; 6; 7; 8,บันทึกไว้ ไม่แก้ไขค่า,ยึดตัวเลขตามต้นฉบับ คอลัมน์คงเหลืออาจสะท้อนการโอนหรือปรับปรุงระหว่างปี
QC-004,budget_items.csv,ปีงบประมาณ 2566,คงเหลือไม่เท่ากับ จัดสรร ลบ รวมเบิกจ่ายและผูกพัน,111 แถวจาก 318 แถว,สูงสุด 37603599.16 บาท,DOC-BUD-2566,1; 2; 3; 4; 5; 6; 7; 8,บันทึกไว้ ไม่แก้ไขค่า,ยึดตัวเลขตามต้นฉบับ คอลัมน์คงเหลืออาจสะท้อนการโอนหรือปรับปรุงระหว่างปี
QC-005,budget_items.csv,ปีงบประมาณ 2567,คงเหลือไม่เท่ากับ จัดสรร ลบ รวมเบิกจ่ายและผูกพัน,92 แถวจาก 301 แถว,สูงสุด 30467630.00 บาท,DOC-BUD-2567,1; 2; 3; 4; 5; 6; 7; 8,บันทึกไว้ ไม่แก้ไขค่า,ยึดตัวเลขตามต้นฉบับ คอลัมน์คงเหลืออาจสะท้อนการโอนหรือปรับปรุงระหว่างปี
QC-006,budget_items.csv,ทุกปี 2563-2567,ตรวจยอดรวมของแถวสรุปกับผลบวกของรายการย่อย,235 แถวสรุป,ตรงกัน 235 แถว,DOC-BUD-2563..2567,ทุกหน้า,ผ่าน,ใช้คอลัมน์จัดสรรเป็นตัวตรวจ ยืนยันว่าโครงสร้างชั้นข้อมูลถูกต้อง
QC-007,budget_items.csv,ทุกปี 2563-2567,ช่องที่ต้นฉบับพิมพ์เครื่องหมายขีดแทนตัวเลข,523 แถว,ปล่อยเป็นค่าว่าง,DOC-BUD-2563..2567,ทุกหน้า,บันทึกไว้,ค่าว่างในไฟล์หมายถึงต้นฉบับพิมพ์ขีด ไม่ได้แปลว่าเป็นศูนย์เสมอไป ดูคอลัมน์ที่ต้นฉบับแสดงขีด
QC-008,budget_items.csv,ปีงบประมาณ 2567,พบเครื่องหมายขีดลอยในคอลัมน์ตัวเลข ไม่มีรายการกำกับ,ขีดเดี่ยวที่ตำแหน่งคอลัมน์เงิน,ตัดออกจากชุดข้อมูล,DOC-BUD-2567,1,ตัดออก,ไม่มีชื่อรายการและไม่กระทบยอดรวม ตรวจแล้วยอดรวมทั้งสิ้นยังตรงกับผลบวกของแผนงาน
QC-009,asset_register_2567.csv,ทุกแถว,ตรวจ มูลค่าการได้มา บวก ค่าเสื่อมสะสม เท่ากับ มูลค่าตามบัญชี,82021 แถว,ไม่ตรง 0 แถว,DOC-AST-2567,ทุกหน้า,ผ่าน,ใช้เป็นเงื่อนไขซ่อมคอลัมน์ตัวเลขที่ถูกเว้นวรรคผิดตำแหน่งตอนสกัดข้อความ
QC-010,asset_group_summary_2567.csv,ยอดสรุปทุกระดับ,ตรวจยอดสรุปที่พิมพ์กับผลบวกของรายการย่อย,1872 ยอดสรุป,ไม่ตรง 0 ยอด,DOC-AST-2567,ทุกหน้า,ผ่าน,ครอบคลุมระดับศูนย์ต้นทุน หมวดสินทรัพย์ พื้นที่ และหน่วยงาน
QC-011,asset_group_summary_2567.csv,cost_center 1700600006,ต้นฉบับพิมพ์เครื่องหมาย # แทนตัวเลขเพราะค่าเกินความกว้างคอลัมน์,##############,คำนวณแทนได้เป็น -2172324604.58,DOC-AST-2567,1552,บันทึกไว้ ไม่เติมค่าลงไฟล์,ค่าที่คำนวณได้มาจาก มูลค่าตามบัญชี ลบ มูลค่าการได้มา ซึ่งตรงกับผลบวกของรายการย่อย
QC-012,asset_group_summary_2567.csv,category 12061000,ต้นฉบับพิมพ์เครื่องหมาย # แทนตัวเลขเพราะค่าเกินความกว้างคอลัมน์,##############,คำนวณแทนได้เป็น -2310594851.56,DOC-AST-2567,1621,บันทึกไว้ ไม่เติมค่าลงไฟล์,ค่าที่คำนวณได้มาจาก มูลค่าตามบัญชี ลบ มูลค่าการได้มา ซึ่งตรงกับผลบวกของรายการย่อย
QC-013,asset_group_summary_2567.csv,area 1000,ต้นฉบับพิมพ์เครื่องหมาย # แทนตัวเลขเพราะค่าเกินความกว้างคอลัมน์,##############,คำนวณแทนได้เป็น -2310594851.56,DOC-AST-2567,1621,บันทึกไว้ ไม่เติมค่าลงไฟล์,ค่าที่คำนวณได้มาจาก มูลค่าตามบัญชี ลบ มูลค่าการได้มา ซึ่งตรงกับผลบวกของรายการย่อย
QC-014,asset_group_summary_2567.csv,org 17006,ต้นฉบับพิมพ์เครื่องหมาย # แทนตัวเลขเพราะค่าเกินความกว้างคอลัมน์,##############,คำนวณแทนได้เป็น -2491853092.51,DOC-AST-2567,1797,บันทึกไว้ ไม่เติมค่าลงไฟล์,ค่าที่คำนวณได้มาจาก มูลค่าตามบัญชี ลบ มูลค่าการได้มา ซึ่งตรงกับผลบวกของรายการย่อย
QC-015,asset_register_2567.csv,ทุกแถว,ตัวเลขถูกเว้นวรรคกลางจำนวนตอนสกัดข้อความจาก PDF,"เช่น 5,49 5.00 และ 136 ,800.00",ซ่อมแล้วทุกแถว,DOC-AST-2567,1; 4; 176; 421; 883,แก้ไขแล้ว,ต่อเลขกลับเฉพาะกรณีที่ได้รูปแบบจำนวนเงินถูกต้องและทำให้สมการ การได้มา บวก ค่าเสื่อม เท่ากับ ตามบัญชี เป็นจริง
