รหัสกลาง_ก,ชื่อ_ก,ปีที่พบ_ก,รหัสกลาง_ข,ชื่อ_ข,ปีที่พบ_ข,ค่าความคล้าย_ร้อยละ,ความต่างของชื่อ,การตัดสิน,ชื่อที่ใช้หลังรวม,ผู้ตัดสิน,วันที่ตัดสิน,เหตุผล
ITM-0003,การดำเนินการทางวินัยสำหรับเจ้าหน้าที่สำนักงานประกันสังคม พ.ศ. 2564,2564,ITM-0340,โครงการดำเนินการทางวินัยสำหรับเจ้าหน้าที่สำนักงานประกันสังคม พ.ศ. 2565,2563 | 2565,96.6,(ว่าง) -> โครง ; 4 -> 5,,,,,
ITM-0008,การอบรมเชิงปฏิบัติการแก่นายจ้างเพื่อจัดทำข้อมูลและจ่ายเงินสมทบ กองทุนประกันสงคมผ่านระบบอิเล็กทรอนิกส์ (e-Payment),2563 | 2564,ITM-0491,โครงการอบรมเชิงปฏิบัติการแก่นายจ้างเพื่อจัดทำข้อมูลและจ่ายเงินสมทบ กองทุนประกันสงคมผ่านระบบอิเล็กทรอนิกส์ (e-Payment),2565 | 2566 | 2567,98.2,(ว่าง) -> โครง,รวม,โครงการอบรมเชิงปฏิบัติการแก่นายจ้างเพื่อจัดทำข้อมูลและจ่ายเงินสมทบ กองทุนประกันสงคมผ่านระบบอิเล็กทรอนิกส์ (e-Payment),Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกคำว่า โครงการ หน้าชื่อ เนื้อหาเหมือนกันทุกตัวอักษร ปีไม่ทับกัน
ITM-0011,ค่าก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดชลบุรี สาขาศรีราชา,2566,ITM-0185,งานก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดชลบุรี สาขาศรีราชา,2564,96.6,ค่ -> ง ; (ว่าง) -> น,รวม,ก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดชลบุรี สาขาศรีราชา,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า ค่า/งาน ปีไม่ทับกัน
ITM-0011,ค่าก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดชลบุรี สาขาศรีราชา,2566,ITM-0257,โครงการก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดชลบุรี สาขาศรีราชา,2565,96.6,(ว่าง) -> โ ; ่ -> รงก ; (ว่าง) -> ร,รวม,,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า ค่า/โครงการ ปีไม่ทับกัน
ITM-0013,ค่าก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดปทุมธานี สาขาคลองหลวง,2566 | 2567,ITM-0187,งานก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดปทุมธานี สาขาคลองหลวง,2564,96.8,ค่ -> ง ; (ว่าง) -> น,รวม,ก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดปทุมธานี สาขาคลองหลวง,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า ค่า/งาน ปีไม่ทับกัน
ITM-0013,ค่าก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดปทุมธานี สาขาคลองหลวง,2566 | 2567,ITM-0258,โครงการก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดปทุมธานี สาขาคลองหลวง,2565,96.8,(ว่าง) -> โ ; ่ -> รงก ; (ว่าง) -> ร,รวม,,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า ค่า/โครงการ ปีไม่ทับกัน
ITM-0014,ค่าก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดอยุธยา สาขาอุทัย,2566,ITM-0189,งานก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดอยุธยา สาขาอุทัย,2564,96.5,ค่ -> ง ; (ว่าง) -> น,รวม,ก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดอยุธยา สาขาอุทัย,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า ค่า/งาน ปีไม่ทับกัน
ITM-0014,ค่าก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดอยุธยา สาขาอุทัย,2566,ITM-0260,โครงการก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดอยุธยา สาขาอุทัย,2565,96.5,(ว่าง) -> โ ; ่ -> รงก ; (ว่าง) -> ร,รวม,,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า ค่า/โครงการ ปีไม่ทับกัน
ITM-0021,ค่าจ้างที่ปรึกษาทางการแพทย์และที่ปรึกษาทางการพยาบาล,2563,ITM-0322,โครงการจ้างที่ปรึกษาทางการแพทย์ และที่ปรึกษาทางการพยาบาล,2565,94.3,(ว่าง) -> โ ; ่ -> รงก ; (ว่าง) -> ร ; (ว่าง) ->  ,รวม,จ้างที่ปรึกษาทางการแพทย์และที่ปรึกษาทางการพยาบาล,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,งานเดียวกัน ต่างแค่คำนำหน้าและช่องว่าง ปีไม่ทับกัน
ITM-0030,ค่าจ้างบำรุงรักษาระบบคอมพิวเตอร์พร้อมการรักษาความมั่นคงปลดดภัย ระดับคอมพิวเตอร์ลูกข่าย,2563 | 2564 | 2565,ITM-0031,ค่าจ้างบำรุงรักษาระบบคอมพิวเตอร์พร้อมการรักษาความมั่นคงปลอดภัย ระดับคอมพิวเตอร์ลูกข่าย,2566 | 2567,98.8,ด -> อ,รวม,ค่าจ้างบำรุงรักษาระบบคอมพิวเตอร์พร้อมการรักษาความมั่นคงปลอดภัย ระดับคอมพิวเตอร์ลูกข่าย,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,สะกดผิด ปลดดภัย ควรเป็น ปลอดภัย ปีไม่ทับกัน
