ประเภทรหัส,รหัส,ชื่อหน่วยงาน,รหัสหน่วยเหนือ,ชื่อหน่วยเหนือ,จำนวนรายการย่อยสินทรัพย์,จำนวนรหัสสินทรัพย์,มูลค่าการได้มา,ค่าเสื่อมราคาสะสม,มูลค่าตามบัญชี,ความสัมพันธ์ที่ตรวจสอบได้,รหัสเอกสาร,ไฟล์ต้นทาง,หน้าอ้างอิง
หน่วยงาน,17006,สำนักงานประกันสังคม,,,82021,60012,5419079845.6,-4285809628.96,1133270216.64,รากของโครงสร้าง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,875
พื้นที่,1000,ส่วนกลาง,17006,สำนักงานประกันสังคม,47751,36560,4256495194.08,-3374324469.94,882170724.14,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 36 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,385; 888; 989; 1067; 1098; 1110
พื้นที่,1100,สมุทรปราการ,17006,สำนักงานประกันสังคม,1439,1099,55545331.11,-44299274.01,11246057.1,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,401; 889; 993; 1068; 1132; 1632
พื้นที่,1200,นนทบุรี,17006,สำนักงานประกันสังคม,734,499,22605961.8,-18887060.83,3718900.97,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,410; 890; 994; 1069; 1636; 1853
พื้นที่,1300,ปทุมธานี,17006,สำนักงานประกันสังคม,626,512,25177156.87,-21284297.64,3892859.23,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,418; 890; 995; 1070; 1132; 1641
พื้นที่,1400,พระนครศรีอยุธยา,17006,สำนักงานประกันสังคม,720,504,27362188.97,-18011946.84,9350242.13,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,428; 890; 995; 1070; 1645; 1855
พื้นที่,1500,อ่างทอง,17006,สำนักงานประกันสังคม,349,202,7982460.68,-5288054.65,2694406.03,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,434; 890; 996; 1071; 1646; 1855
พื้นที่,1600,ลพบุรี,17006,สำนักงานประกันสังคม,351,229,15429120.27,-11974342.52,3454777.75,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,439; 891; 996; 1071; 1132; 1648
พื้นที่,1700,สิงห์บุรี,17006,สำนักงานประกันสังคม,157,104,7972884.41,-6227687.11,1745197.3,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,441; 891; 996; 1649; 1856
พื้นที่,1800,ชัยนาท,17006,สำนักงานประกันสังคม,199,129,7719978.24,-4784324.22,2935654.02,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,444; 891; 997; 1071; 1098; 1650
พื้นที่,1900,สระบุรี,17006,สำนักงานประกันสังคม,385,273,15715732.5,-12762520.18,2953212.32,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,448; 891; 997; 1071; 1653; 1857
พื้นที่,2000,ชลบุรี,17006,สำนักงานประกันสังคม,760,553,26779055.05,-20494456.2,6284598.85,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,458; 892; 998; 1072; 1098; 1659
พื้นที่,2100,ระยอง,17006,สำนักงานประกันสังคม,1140,791,31370190.65,-22053331.76,9316858.89,อยู่ใต้หน่วยงาน 17006 และมีศูนย์ต้นทุน 1 แห่ง,DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,478; 892; 998; 1073; 1098; 1662
